sample_id,hole_id,from_ft,to_ft,from_m,to_m,description,qaqc,source_samples,ag_ppm,ag_ppm(2),al_%,as_ppm,au_ppm,au_ppm(2),ba_ppm,be_ppm,bi_ppm,ca_%,cd_ppm,ce_ppm,co_ppm,cr_ppm,cs_ppm,cu_%,cu_ppm,fe_%,ga_ppm,ge_ppm,hf_ppm,in_ppm,k_%,la_ppm,li_ppm,mg_%,mn_ppm,mo_ppm,na_%,nb_ppm,ni_ppm,p_ppm,pb_%,pb_ppm,rb_ppm,re_ppm,recvd_wt._kg,s_%,sb_ppm,sc_ppm,se_ppm,sn_ppm,sn_ppm(2),source_assays,sr_ppm,ta_ppm,te_ppm,th_ppm,ti_%,tl_ppm,u_ppm,v_ppm,w_ppm,y_ppm,zn_%,zn_ppm,zr_ppm
E571225,KM-22-71A,1712.5,1717.0,522.0,523.3,"dark gray schist, silicification, no mineralization",0,KM-22-71A.xlsx,1,0.0,2.47,<50,0.007,0.0,130,<10,<20,0.91,<10,0.0,<10,10,0,0.0,1560,2.4,<50,0.0,0,0.0,0.6,<50,0.0,2.1,530,<10,0.12,0,<10,<50,0.0,30,0,0,5.27,0.17,<50,<10,0,0.0,0,TU22125500.csv,20,0,0.0,<50,<0.05,<50,<50,<10,<50,0.0,0,130,0.0
E571226,KM-22-71A,1717.0,1722.0,523.3,524.9,"dark gray schist, silicification, no mineralization",0,KM-22-71A.xlsx,1,0.0,2.98,360,0.025,0.0,120,<10,<20,1.16,<10,0.0,10,<10,0,0.0,2110,2.79,<50,0.0,0,0.0,0.5,<50,0.0,2.72,610,<10,0.11,0,<10,<50,0.0,70,0,0,5.89,0.32,50,<10,0,0.0,0,TU22125500.csv,30,0,0.0,<50,<0.05,<50,<50,<10,<50,0.0,0,200,0.0
E571227,KM-22-71A,1722.0,1727.0,524.9,526.4,"dark gray schist, silicification, quartz, 1% chalcopyrite, 5% pyrite",0,KM-22-71A.xlsx,1,0.0,2.57,770,0.043,0.0,170,<10,<20,1.10,<10,0.0,<10,10,0,0.0,1750,2.63,<50,0.0,0,0.0,0.8,<50,0.0,2.41,410,<10,0.15,0,<10,<50,0.0,40,0,0,5.51,0.35,<50,<10,0,0.0,0,TU22125500.csv,30,0,0.0,<50,<0.05,<50,<50,<10,<50,0.0,0,280,0.0
E571228,KM-22-71A,1727.0,1732.0,526.4,527.9,"dark gray schist, silicification, quartz, 0.1% chalcopyrite",0,KM-22-71A.xlsx,<1,0.0,2.67,210,0.017,0.0,120,<10,<20,1.19,<10,0.0,10,10,0,0.0,870,2.9,<50,0.0,0,0.0,0.6,<50,0.0,2.54,520,<10,0.13,0,<10,<50,0.0,30,0,0,5.75,0.15,<50,<10,0,0.0,0,TU22125500.csv,20,0,0.0,<50,<0.05,<50,<50,<10,<50,0.0,0,260,0.0
E571229,KM-22-71A,1732.0,1737.0,527.9,529.4,"dark gray schist, silicification, black chlorite and quartz, no mineralization",0,KM-22-71A.xlsx,<1,0.0,5.59,2060,0.097,0.0,70,<10,<20,1.98,10,0.0,10,10,0,0.0,170,6.08,<50,0.0,0,0.0,0.3,<50,0.0,6.26,760,<10,0.08,0,<10,<50,0.0,40,0,0,5.98,0.50,<50,10,0,0.0,0,TU22125500.csv,20,0,0.0,<50,<0.05,<50,<50,<10,<50,0.0,0,1820,0.0
E571231,KM-22-71A,1737.0,1739.0,529.4,530.0,"dark gray schist, quartz-dolomite and black chlorite, 5% pyrite",0,KM-22-71A.xlsx,1,0.0,9.16,960,0.030,0.0,50,<10,<20,3.65,20,0.0,10,<10,0,0.0,3150,10.6,<50,0.0,0,0.0,0.3,<50,0.0,10.2,1190,<10,0.15,0,<10,<50,0.0,130,0,0,1.52,3.18,70,10,0,0.0,0,TU22125500.csv,30,0,0.0,<50,0.06,<50,<50,<10,<50,0.0,0,3400,0.0
E571232,KM-22-71A,1739.0,1744.0,530.0,531.6,"dark gray schist, silicification, quartz-dolomite and black chlorite, no mineralization",0,KM-22-71A.xlsx,<1,0.0,5.85,190,0.011,0.0,90,<10,<20,4.63,<10,0.0,10,<10,0,0.0,280,6.02,<50,0.0,0,0.0,0.4,<50,0.0,7.96,1170,<10,0.18,0,<10,50,0.0,20,0,0,6.58,0.06,50,10,0,0.0,0,TU22125500.csv,50,0,0.0,<50,<0.05,<50,<50,<10,<50,0.0,0,400,0.0
E571233,KM-22-71A,1744.0,1749.0,531.6,533.1,"medium gray schist, silicification, quartz-dolomite and black chlorite, trace pyrite",0,KM-22-71A.xlsx,<1,0.0,4.47,<50,0.007,0.0,430,<10,<20,1.29,<10,0.0,20,<10,0,0.0,100,6.62,<50,0.0,0,0.0,1.5,<50,0.0,2.68,1050,<10,0.54,0,<10,920,0.0,<20,0,0,6.23,0.18,<50,20,0,0.0,0,TU22125500.csv,40,0,0.0,<50,0.16,<50,<50,70,<50,0.0,0,120,0.0
E571234,KM-22-71A,1749.0,1754.0,533.1,534.6,"medium gray schist, silicification, quartz-dolomite and black chlorite, no mineralization",0,KM-22-71A.xlsx,<1,0.0,4.76,420,0.009,0.0,180,<10,<20,3.97,<10,0.0,10,<10,0,0.0,30,4.4,<50,0.0,0,0.0,0.7,<50,0.0,4.68,1220,<10,0.21,0,<10,310,0.0,<20,0,0,5.73,0.12,<50,10,0,0.0,0,TU22125500.csv,40,0,0.0,<50,0.08,<50,<50,20,<50,0.0,0,130,0.0
E571235,KM-22-71A,1754.0,1759.0,534.6,536.1,"medium gray schist, silicification, quartz-dolomite and black chlorite, no mineralization",0,KM-22-71A.xlsx,<1,0.0,3.80,90,0.011,0.0,110,<10,<20,1.74,<10,0.0,<10,<10,0,0.0,<10,2.37,<50,0.0,0,0.0,0.6,<50,0.0,3.55,670,<10,0.16,0,<10,<50,0.0,<20,0,0,5.31,<0.05,<50,10,0,0.0,0,TU22125500.csv,30,0,0.0,<50,<0.05,<50,<50,<10,<50,0.0,0,100,0.0
