sample_id,hole_id,from_ft,to_ft,from_m,to_m,description,qaqc,source_samples,ag_ppm,ag_ppm(2),al_%,as_ppm,au_ppm,au_ppm(2),ba_ppm,be_ppm,bi_ppm,ca_%,cd_ppm,ce_ppm,co_ppm,cr_ppm,cs_ppm,cu_%,cu_ppm,fe_%,ga_ppm,ge_ppm,hf_ppm,in_ppm,k_%,la_ppm,li_ppm,mg_%,mn_ppm,mo_ppm,na_%,nb_ppm,ni_ppm,p_ppm,pb_%,pb_ppm,rb_ppm,re_ppm,recvd_wt._kg,s_%,sb_ppm,sc_ppm,se_ppm,sn_ppm,sn_ppm(2),source_assays,sr_ppm,ta_ppm,te_ppm,th_ppm,ti_%,tl_ppm,u_ppm,v_ppm,w_ppm,y_ppm,zn_%,zn_ppm,zr_ppm
B300015,KM-20-01,nan,nan,nan,nan,0,STD CDN-ME-1410,KM-20-01.xlsx,71,0.0,1.18,160,0.565,0.0,<50,<10,100,0.92,110,0.0,320,20,0,0.0,38300,28.0,<50,0.0,0,0.0,0.1,<50,0.0,1.93,780,10,0.07,0,60,110,0.0,2500,0,0,0.12,>10.0,<50,<10,0,0.0,0,TU20017795.csv,10,0,0.0,<50,0.05,<50,<50,10,<50,0.0,0,37100,0.0
B300016,KM-20-01,469.5,472.0,143.1,143.9,Chlorite-sericite schist with concordant quartz vein containing sparse cpy+py and possibly aspy(?).,0,KM-20-01.xlsx,<1,0.0,6.76,50,<0.005,0.0,210,<10,<20,6.22,<10,0.0,50,280,0,0.0,220,7.97,<50,0.0,0,0.0,1.2,<50,0.0,3.3,750,<10,0.15,0,160,430,0.0,<20,0,0,2.55,0.09,<50,40,0,0.0,0,TU20017795.csv,70,0,0.0,<50,0.60,<50,<50,350,<50,0.0,0,140,0.0
B300017,KM-20-01,472.0,475.0,143.9,144.8,"Silicified zone with quartz-pyrite veinlets. Pyrite blebs, clots and disseminated grains.",0,KM-20-01.xlsx,<1,0.0,1.35,<50,0.034,0.0,<50,<10,<20,3.58,<10,0.0,20,80,0,0.0,110,5.95,<50,0.0,0,0.0,0.1,<50,0.0,0.9,470,<10,<0.05,0,40,610,0.0,<20,0,0,3.81,2.24,<50,10,0,0.0,0,TU20017795.csv,30,0,0.0,<50,0.12,<50,<50,70,<50,0.0,0,50,0.0
B300001,KM-20-01,884.0,887.0,269.4,270.4,Qtz-sericite schist with 0.4' thick quartz veinlet(trace cpy+py).,0,KM-20-01.xlsx,1,0.0,3.69,160,0.026,0.0,210,<10,<20,4.58,<10,0.0,<10,10,0,0.0,860,2.41,<50,0.0,0,0.0,1.0,<50,0.0,3.06,810,<10,0.14,0,<10,90,0.0,200,0,0,2.14,0.32,50,10,0,0.0,0,TU20017795.csv,60,0,0.0,<50,0.05,<50,<50,10,<50,0.0,0,180,0.0
B300002,KM-20-01,887.0,892.0,270.4,271.9,Sericite-qtz schist with 0.2' exhalite(cpy <1%)+ py.,0,KM-20-01.xlsx,3,0.0,4.56,3670,0.296,0.0,290,<10,20,0.80,10,0.0,20,10,0,0.0,1480,3.78,<50,0.0,0,0.0,1.5,<50,0.0,2.61,680,<10,0.13,0,<10,60,0.0,360,0,0,6.22,0.97,<50,10,0,0.0,0,TU20017795.csv,20,0,0.0,<50,<0.05,<50,<50,<10,<50,0.0,0,3520,0.0
B300003,KM-20-01,892.0,897.0,271.9,273.4,"Sericite-qtz schist with several thin exhalite bands containing either/and /or cpy, aspy, py.",0,KM-20-01.xlsx,1,0.0,4.51,970,0.040,0.0,260,<10,<20,1.28,10,0.0,10,10,0,0.0,210,3.21,<50,0.0,0,0.0,1.1,<50,0.0,3.1,570,<10,0.13,0,<10,50,0.0,190,0,0,5.05,0.27,<50,10,0,0.0,0,TU20017795.csv,20,0,0.0,<50,0.05,<50,<50,<10,<50,0.0,0,1530,0.0
B300004,KM-20-01,897.0,900.0,273.4,274.3,"Sericite-qtz schist containing several scattered, very thin exhalite bands of wispy cpy+py+/-aspy.",0,KM-20-01.xlsx,1,0.0,3.71,340,0.028,0.0,220,<10,<20,0.87,<10,0.0,10,10,0,0.0,1130,3.02,<50,0.0,0,0.0,0.8,<50,0.0,2.66,610,<10,0.11,0,<10,<50,0.0,70,0,0,4.22,0.20,<50,10,0,0.0,0,TU20017795.csv,20,0,0.0,<50,<0.05,<50,<50,<10,<50,0.0,0,190,0.0
B300005,KM-20-01,900.0,905.0,274.3,275.8,"Sericite-qtz schist with sparse, very thin exhalite bands containing wispy cpy+py.",0,KM-20-01.xlsx,4,0.0,2.39,1400,0.133,0.0,210,<10,<20,1.63,<10,0.0,<10,10,0,0.0,2190,1.73,<50,0.0,0,0.0,1.0,<50,0.0,1.53,560,<10,0.10,0,<10,<50,0.0,150,0,0,4.82,0.38,280,<10,0,0.0,0,TU20017795.csv,20,0,0.0,<50,<0.05,<50,<50,<10,<50,0.0,0,640,0.0
B300006,KM-20-01,905.0,907.0,275.8,276.5,"Semi-massive to massive sulfide.  Fine-grained py+ cpy. Cpy<3%(est.), Py 80-90%(est.).",0,KM-20-01.xlsx,32,0.0,4.32,7620,1.215,0.0,290,<10,<20,2.14,130,0.0,40,10,0,0.0,4960,11.35,<50,0.0,0,0.0,1.3,<50,0.0,2.34,710,<10,0.15,0,<10,90,0.0,7320,0,0,2.43,>10.0,3090,10,0,0.0,0,TU20017795.csv,30,0,0.0,<50,<0.05,<50,<50,<10,<50,0.0,0,50400,0.0
B300007,KM-20-01,907.0,911.0,276.5,277.7,Sericite-qtz schist and quartz sericite schist with conformable qtz-feldspar vein breccia @ 908.5'-909.5',0,KM-20-01.xlsx,<1,0.0,5.11,100,0.005,0.0,400,<10,<20,7.12,<10,0.0,<10,10,0,0.0,50,2.25,<50,0.0,0,0.0,1.4,<50,0.0,3.93,980,<10,0.21,0,<10,200,0.0,120,0,0,2.89,0.05,50,10,0,0.0,0,TU20017795.csv,70,0,0.0,<50,0.08,<50,<50,10,<50,0.0,0,110,0.0
B300008,KM-20-01,911.0,913.5,277.7,278.4,"Semi-massive to massive sulfide.  Fine-grained py+ cpy. Cpy<3%(est.), Py 80-90%(est.).",0,KM-20-01.xlsx,8,0.0,2.62,4320,0.390,0.0,80,<10,20,4.82,40,0.0,80,10,0,0.0,10800,18.3,<50,0.0,0,0.0,0.6,<50,0.0,2.98,630,10,0.11,0,10,70,0.0,1750,0,0,3.35,>10.0,1280,10,0,0.0,0,TU20017795.csv,40,0,0.0,<50,<0.05,<50,<50,10,<50,0.0,0,14800,0.0
B300009,KM-20-01,913.5,918.0,278.4,279.8,Qtz-sericite schist and sericite-qtz schist.,0,KM-20-01.xlsx,<1,0.0,4.55,60,0.006,0.0,560,<10,<20,6.63,<10,0.0,10,<10,0,0.0,120,2.73,<50,0.0,0,0.0,1.9,<50,0.0,3.6,670,<10,0.20,0,<10,180,0.0,40,0,0,5.45,0.43,50,10,0,0.0,0,TU20017795.csv,60,0,0.0,<50,0.10,<50,<50,10,<50,0.0,0,160,0.0
B300010,KM-20-01,918.0,921.5,279.8,280.9,Semi-massive to massive sulfide.  Fine-grained py+ cpy. Cpy = 3%(est.).,0,KM-20-01.xlsx,16,0.0,3.50,9710,1.020,0.0,70,<10,20,2.98,40,0.0,60,<10,0,0.0,12700,19.05,<50,0.0,0,0.0,0.9,<50,0.0,2.86,590,<10,0.12,0,<10,60,0.0,2870,0,0,4.58,>10.0,490,10,0,0.0,0,TU20017795.csv,30,0,0.0,<50,<0.05,<50,<50,<10,<50,0.0,0,17050,0.0
B300011,KM-20-01,921.5,923.5,280.9,281.5,Semi-massive and massive sulfide. Py+ cpy. Cpy<3%(est.).,0,KM-20-01.xlsx,35,0.0,4.51,3370,0.949,0.0,80,<10,20,0.40,30,0.0,40,10,0,0.0,11500,15.55,<50,0.0,0,0.0,0.9,<50,0.0,3.24,1000,<10,0.12,0,<10,160,0.0,1460,0,0,2.44,>10.0,50,10,0,0.0,0,TU20017795.csv,10,0,0.0,<50,0.06,<50,<50,<10,<50,0.0,0,11650,0.0
B300012,KM-20-01,923.5,926.5,281.5,282.4,Qtz-sericite schist with 0.4' thick band of semi-massive sulfide(py only).,0,KM-20-01.xlsx,14,0.0,5.08,580,0.352,0.0,200,<10,<20,2.46,20,0.0,<10,<10,0,0.0,730,7.79,<50,0.0,0,0.0,1.4,<50,0.0,2.95,980,<10,0.15,0,<10,190,0.0,3150,0,0,2.78,7.77,380,10,0,0.0,0,TU20017795.csv,30,0,0.0,<50,0.05,<50,<50,<10,<50,0.0,0,8740,0.0
B300013,KM-20-01,926.5,932.0,282.4,284.1,Quartz sericite schist.,0,KM-20-01.xlsx,<1,0.0,4.97,<50,0.026,0.0,180,<10,<20,1.51,<10,0.0,10,<10,0,0.0,20,2.06,<50,0.0,0,0.0,1.0,<50,0.0,4.1,730,<10,0.18,0,<10,90,0.0,60,0,0,5.08,0.49,<50,10,0,0.0,0,TU20017795.csv,30,0,0.0,<50,0.07,<50,<50,<10,<50,0.0,0,180,0.0
B300014,KM-20-01,932.0,937.0,284.1,285.6,Sericite quartz schist with concordant quartz vein containing sparse cpy+py+/-(fine-grained aspy?),0,KM-20-01.xlsx,2,0.0,5.09,380,0.043,0.0,80,<10,<20,3.04,<10,0.0,10,<10,0,0.0,1830,2.66,<50,0.0,0,0.0,0.5,<50,0.0,5.81,1070,<10,0.17,0,<10,100,0.0,40,0,0,6.18,0.42,950,10,0,0.0,0,TU20017795.csv,40,0,0.0,<50,0.07,<50,<50,30,<50,0.0,0,370,0.0
B300018,KM-20-01,937.0,942.0,285.6,287.1,Sericite-qtz schist with very thin (< 1mm) anastomosing pyrite veinlets.,0,KM-20-01.xlsx,1,0.0,1.90,370,0.045,0.0,260,<10,<20,0.36,10,0.0,<10,10,0,0.0,210,0.79,<50,0.0,0,0.0,1.6,<50,0.0,0.73,160,10,0.18,0,<10,<50,0.0,40,0,0,5.2,0.28,130,<10,0,0.0,0,TU20017795.csv,10,0,0.0,<50,0.05,<50,<50,<10,<50,0.0,0,680,0.0
B300019,KM-20-01,942.0,947.0,287.1,288.6,Sericite-qtz schist with rare(hardly any but noticible) very thin pyrite veinlets.,0,KM-20-01.xlsx,<1,0.0,3.90,<50,0.010,0.0,350,<10,<20,0.17,<10,0.0,<10,10,0,0.0,60,1.19,<50,0.0,0,0.0,2.1,<50,0.0,1.07,190,<10,0.23,0,<10,50,0.0,<20,0,0,6.36,0.33,<50,10,0,0.0,0,TU20017795.csv,10,0,0.0,<50,0.06,<50,<50,<10,<50,0.0,0,290,0.0
B300020,KM-20-01,947.0,952.0,288.6,290.2,"Sericite-qtz schist with rare, very thin quartz veinlets, pyrite veinlets and  pyrite clots.",0,KM-20-01.xlsx,1,0.0,2.46,90,0.027,0.0,270,<10,<20,0.29,<10,0.0,<10,10,0,0.0,60,1.29,<50,0.0,0,0.0,1.8,<50,0.0,1.2,220,<10,0.20,0,<10,50,0.0,50,0,0,5.51,0.28,<50,<10,0,0.0,0,TU20017795.csv,10,0,0.0,<50,0.05,<50,<50,<10,<50,0.0,0,520,0.0
B300021,KM-20-01,952.0,957.0,290.2,291.7,"Sericite-qtz schist with several 0.25""-0.75"" thick qtz veinlets and very thin pyrite veinlets.",0,KM-20-01.xlsx,1,0.0,2.57,<50,0.013,0.0,310,<10,<20,0.36,<10,0.0,<10,10,0,0.0,30,0.9,<50,0.0,0,0.0,1.7,<50,0.0,1.02,170,<10,0.19,0,<10,<50,0.0,<20,0,0,5.18,<0.05,<50,<10,0,0.0,0,TU20017795.csv,20,0,0.0,<50,0.05,<50,<50,<10,<50,0.0,0,60,0.0
B300022,KM-20-01,957.0,960.0,291.7,292.6,Sericite-qtz schist with several concordant quartz-feldpsar(probably albite) veinlets up to 0.5' thick containing trace amount of pyrite.,0,KM-20-01.xlsx,<1,0.0,2.65,<50,0.006,0.0,310,<10,<20,1.53,<10,0.0,<10,20,0,0.0,30,0.98,<50,0.0,0,0.0,1.0,<50,0.0,1.09,440,<10,0.14,0,<10,<50,0.0,<20,0,0,2.95,0.12,<50,<10,0,0.0,0,TU20017795.csv,50,0,0.0,<50,<0.05,<50,<50,<10,<50,0.0,0,30,0.0
B300023,KM-20-01,960.0,963.5,292.6,293.7,Sercitie-qtz schist with quartz veining + traces of pyrite.,0,KM-20-01.xlsx,<1,0.0,3.65,<50,<0.005,0.0,820,<10,<20,3.38,<10,0.0,10,20,0,0.0,40,1.48,<50,0.0,0,0.0,1.5,<50,0.0,2.01,580,<10,0.19,0,10,80,0.0,<20,0,0,3.83,0.12,<50,10,0,0.0,0,TU20017795.csv,90,0,0.0,<50,0.06,<50,<50,10,<50,0.0,0,60,0.0
B300024,KM-20-01,1027.0,1032.0,313.0,314.6,"Chlorite-sericite schist with two very thin, conformable cpy veinlets + trace pyrite.",0,KM-20-01.xlsx,1,0.0,4.48,<50,0.022,0.0,180,<10,<20,0.76,<10,0.0,10,10,0,0.0,490,3.14,<50,0.0,0,0.0,1.0,<50,0.0,2.39,490,<10,0.15,0,<10,60,0.0,30,0,0,5.72,0.09,<50,10,0,0.0,0,TU20017795.csv,10,0,0.0,<50,<0.05,<50,<50,10,<50,0.0,0,570,0.0
B300025,KM-20-01,1059.0,1062.0,322.8,323.7,White quartz vein(concordant) in sericite schist.,0,KM-20-01.xlsx,<1,0.0,3.19,<50,<0.005,0.0,270,<10,<20,0.62,<10,0.0,<10,30,0,0.0,10,1.8,<50,0.0,0,0.0,0.9,<50,0.0,1.49,2010,<10,0.14,0,<10,50,0.0,<20,0,0,2.09,<0.05,<50,<10,0,0.0,0,TU20017795.csv,30,0,0.0,<50,<0.05,<50,<50,<10,<50,0.0,0,30,0.0
B300026,KM-20-01,1062.0,1065.0,323.7,324.6,"White quartz vein(concordant, 0.5' thick containing cpy blebs) in sericite schist.",0,KM-20-01.xlsx,<1,0.0,3.49,<50,0.008,0.0,230,<10,<20,0.77,<10,0.0,<10,20,0,0.0,150,1.91,<50,0.0,0,0.0,1.0,<50,0.0,1.58,1240,<10,0.17,0,10,80,0.0,<20,0,0,2.09,<0.05,<50,10,0,0.0,0,TU20017795.csv,40,0,0.0,<50,<0.05,<50,<50,<10,<50,0.0,0,50,0.0
B300027,KM-20-01,1086.0,1091.0,331.0,332.5,"White quartz-feld vein(concordant, 0.5' thick) in qtz-ser schist.",0,KM-20-01.xlsx,<1,0.0,3.89,<50,0.010,0.0,160,<10,<20,1.94,<10,0.0,10,10,0,0.0,20,2.96,<50,0.0,0,0.0,0.6,<50,0.0,3.45,950,<10,0.10,0,<10,<50,0.0,<20,0,0,3.69,0.14,<50,10,0,0.0,0,TU20017795.csv,30,0,0.0,<50,<0.05,<50,<50,<10,<50,0.0,0,100,0.0
B300060,KM-20-02,nan,nan,nan,nan,BLANK CDN-BL-10,BLANK CDN-BL-10,KM-20-02.xlsx,<1,0.0,4.37,<50,0.007,0.0,750,<10,<20,1.50,<10,0.0,10,10,0,0.0,20,2.34,<50,0.0,0,0.0,1.4,<50,0.0,0.4,680,<10,3.26,0,<10,360,0.0,<20,0,0,0.11,0.05,<50,<10,0,0.0,0,TU20026565.csv,170,0,0.0,<50,0.18,<50,<50,30,<50,0.0,0,40,0.0
B300070,KM-20-02,nan,nan,nan,nan,STD CDN-ME-1902,STD CDN-ME-1902,KM-20-02.xlsx,>200,366.0,3.22,1560,5.23,0.0,3750,<10,20,2.27,190,0.0,70,90,0,0.0,7590,17.05,<50,0.0,0,0.0,0.9,<50,0.0,1.3,1220,750,0.63,0,60,450,0.0,21300,0,0,0.12,>10.0,1010,10,0,0.0,0,TU20037414.csv,120,0,0.0,<50,0.18,<50,<50,130,<50,0.0,0,36100,0.0
B300080,KM-20-02,nan,nan,nan,nan,BLANK CDN-BL-10,0,KM-20-02.xlsx,<1,0.0,3.34,<50,<0.005,0.0,660,<10,<20,1.30,<10,0.0,<10,10,0,0.0,20,2.09,<50,0.0,0,0.0,1.1,<50,0.0,0.34,620,<10,2.96,0,10,330,0.0,<20,0,0,0.11,<0.05,<50,<10,0,0.0,0,TU20037414.csv,150,0,0.0,<50,0.16,<50,<50,30,<50,0.0,0,40,0.0
B300090,KM-20-02,nan,nan,nan,nan,STD CDN-ME-1410,STD CDN-ME-1410,KM-20-02.xlsx,67,0.0,1.16,180,0.574,0.0,<50,<10,120,0.89,110,0.0,310,30,0,0.0,37100,28.0,<50,0.0,0,0.0,0.1,<50,0.0,1.9,780,10,0.08,0,50,100,0.0,2420,0,0,0.12,>10.0,<50,<10,0,0.0,0,TU20037414.csv,10,0,0.0,<50,0.05,<50,<50,10,<50,0.0,0,36400,0.0
B300065,KM-20-02,737.0,742.0,224.6,226.2,Serpentine-qtz-ser-schist,0,KM-20-02.xlsx,<1,0.0,5.59,60,<0.005,0.0,330,<10,<20,3.72,<10,0.0,30,90,0,0.0,90,5.67,<50,0.0,0,0.0,0.9,<50,0.0,2.18,920,<10,1.68,0,30,370,0.0,<20,0,0,6.1,0.12,<50,20,0,0.0,0,TU20037414.csv,110,0,0.0,<50,0.26,<50,<50,190,<50,0.0,0,70,0.0
B300066,KM-20-02,742.0,747.0,226.2,227.7,Serpentine-qtz-ser-schist and trace pyrite.,0,KM-20-02.xlsx,<1,0.0,4.34,<50,<0.005,0.0,320,<10,<20,1.49,<10,0.0,20,20,0,0.0,40,4.78,<50,0.0,0,0.0,1.0,<50,0.0,1.72,700,<10,1.43,0,10,440,0.0,<20,0,0,5.83,0.07,<50,10,0,0.0,0,TU20037414.csv,90,0,0.0,<50,0.14,<50,<50,100,<50,0.0,0,80,0.0
B300067,KM-20-02,747.0,752.0,227.7,229.2,Ser-qtz schist with sparse disseminated  pyrite grains and blebs.,0,KM-20-02.xlsx,<1,0.0,4.39,60,0.018,0.0,330,<10,<20,2.02,<10,0.0,10,40,0,0.0,160,4.53,<50,0.0,0,0.0,0.9,<50,0.0,1.72,810,<10,0.86,0,20,340,0.0,110,0,0,5.66,1.22,110,10,0,0.0,0,TU20037414.csv,100,0,0.0,<50,0.13,<50,<50,70,<50,0.0,0,320,0.0
B300068,KM-20-02,752.0,755.5,229.2,230.3,Graph-ser-qtz schist with trace pyrite.,0,KM-20-02.xlsx,<1,0.0,5.27,320,0.021,0.0,330,<10,<20,4.49,<10,0.0,30,200,0,0.0,220,6.85,<50,0.0,0,0.0,1.0,<50,0.0,3.85,1350,<10,0.71,0,150,670,0.0,340,0,0,4.01,1.54,190,20,0,0.0,0,TU20037414.csv,130,0,0.0,<50,0.35,<50,<50,150,<50,0.0,0,330,0.0
B300069,KM-20-02,755.5,759.0,230.3,231.3,Ser-qtz schist. No sulfides.,0,KM-20-02.xlsx,1,0.0,3.98,940,0.013,0.0,180,<10,<20,6.62,<10,0.0,60,650,0,0.0,110,6.66,<50,0.0,0,0.0,0.5,<50,0.0,5.93,1140,<10,0.26,0,520,350,0.0,30,0,0,3.98,0.16,100,20,0,0.0,0,TU20037414.csv,150,0,0.0,<50,0.30,<50,<50,150,<50,0.0,0,160,0.0
B300051,KM-20-02,759.0,762.0,231.3,232.3,Ser-qtz schist with fine-grained pyrite in thin conformable streaks and lenses.,0,KM-20-02.xlsx,4,0.0,6.44,130,0.094,0.0,420,<10,<20,3.49,10,0.0,10,10,0,0.0,1150,5.64,<50,0.0,0,0.0,1.4,<50,0.0,2.45,930,<10,0.89,0,10,410,0.0,430,0,0,3.51,2.23,670,20,0,0.0,0,TU20026565.csv,130,0,0.0,<50,0.15,<50,<50,40,<50,0.0,0,2300,0.0
B300052,KM-20-02,762.0,763.5,232.3,232.7,"Ser-qtz schist with abundant cpy+py in thin streaks, bands, and irregular lenses.",0,KM-20-02.xlsx,3,0.0,6.18,1170,0.113,0.0,350,<10,<20,4.18,10,0.0,40,10,0,0.0,5550,6.78,<50,0.0,0,0.0,1.2,<50,0.0,2.99,1290,<10,0.88,0,<10,500,0.0,370,0,0,1.48,2.17,170,20,0,0.0,0,TU20026565.csv,140,0,0.0,<50,0.15,<50,<50,60,<50,0.0,0,2230,0.0
B300053,KM-20-02,763.5,767.0,232.7,233.8,"Ser-qtz schist with abundant pyrite in thin streaks, bands and irregular lenses.",0,KM-20-02.xlsx,<1,0.0,6.07,160,0.036,0.0,410,<10,<20,3.15,<10,0.0,20,20,0,0.0,600,5.86,<50,0.0,0,0.0,1.4,<50,0.0,2.02,1180,<10,1.01,0,10,510,0.0,40,0,0,3.66,2.20,<50,30,0,0.0,0,TU20026565.csv,130,0,0.0,<50,0.20,<50,<50,130,<50,0.0,0,540,0.0
B300054,KM-20-02,767.0,769.5,233.8,234.5,Pyritic ser-qtz schist. Fine-grained pyrite in thin bands and irregular lenses.,0,KM-20-02.xlsx,<1,0.0,6.18,100,0.032,0.0,440,<10,<20,3.20,<10,0.0,30,10,0,0.0,150,6.85,<50,0.0,0,0.0,1.3,<50,0.0,2.03,1390,<10,1.11,0,10,630,0.0,30,0,0,2.72,2.96,<50,30,0,0.0,0,TU20026565.csv,130,0,0.0,<50,0.20,<50,<50,170,<50,0.0,0,230,0.0
B300055,KM-20-02,769.5,772.0,234.5,235.3,Pyritic ser-quartz schist. Fine-grained py in thin bands and irregular lenses.,0,KM-20-02.xlsx,<1,0.0,6.69,100,0.035,0.0,450,<10,<20,3.72,<10,0.0,30,20,0,0.0,160,6.91,<50,0.0,0,0.0,1.2,<50,0.0,2.15,1350,<10,1.10,0,10,630,0.0,20,0,0,3.23,2.95,<50,30,0,0.0,0,TU20026565.csv,140,0,0.0,<50,0.23,<50,<50,180,<50,0.0,0,210,0.0
B300056,KM-20-02,772.0,777.5,235.3,237.0,Pyritic ser-qtz schist and 0.5' of graphitic schist(776.5'-777.0).,0,KM-20-02.xlsx,<1,0.0,6.56,120,0.022,0.0,410,<10,<20,4.88,<10,0.0,20,50,0,0.0,150,6.29,<50,0.0,0,0.0,1.3,<50,0.0,2.69,1490,<10,0.96,0,30,520,0.0,50,0,0,5.97,1.67,80,30,0,0.0,0,TU20026565.csv,150,0,0.0,<50,0.31,<50,<50,170,<50,0.0,0,210,0.0
B300057,KM-20-02,777.5,778.6,237.0,237.3,Very fine-grained mafic dike or sill.,0,KM-20-02.xlsx,<1,0.0,7.54,<50,0.005,0.0,80,<10,<20,1.62,<10,0.0,20,200,0,0.0,20,4.93,<50,0.0,0,0.0,0.3,<50,0.0,2.9,860,<10,1.62,0,110,1390,0.0,<20,0,0,1.47,<0.05,60,10,0,0.0,0,TU20026565.csv,180,0,0.0,<50,0.47,<50,<50,110,<50,0.0,0,130,0.0
B300058,KM-20-02,778.5,782.0,237.3,238.4,Pyritic ser-qtz schist. Minor graphite.,0,KM-20-02.xlsx,5,0.0,6.20,110,0.091,0.0,320,<10,<20,3.68,<10,0.0,20,20,0,0.0,710,6.62,<50,0.0,0,0.0,1.1,<50,0.0,2.04,1090,<10,0.88,0,10,580,0.0,90,0,0,3.21,4.05,510,30,0,0.0,0,TU20026565.csv,130,0,0.0,<50,0.17,<50,<50,100,<50,0.0,0,430,0.0
B300059,KM-20-02,782.0,787.0,238.4,239.9,Pyritic ser-graph-qtz schist.,0,KM-20-02.xlsx,<1,0.0,5.25,200,0.015,0.0,290,<10,<20,5.49,<10,0.0,40,140,0,0.0,140,7.77,<50,0.0,0,0.0,1.0,<50,0.0,3.15,1480,<10,0.95,0,90,620,0.0,20,0,0,4.37,1.64,90,20,0,0.0,0,TU20026565.csv,130,0,0.0,<50,0.44,<50,<50,190,<50,0.0,0,140,0.0
B300061,KM-20-02,787.0,792.0,239.9,241.4,Pyritic graph-ser-qtz schist.,0,KM-20-02.xlsx,<1,0.0,4.92,180,<0.005,0.0,220,<10,<20,6.19,<10,0.0,30,130,0,0.0,130,7.79,<50,0.0,0,0.0,0.7,<50,0.0,3.19,2340,<10,0.53,0,80,1180,0.0,<20,0,0,5.28,1.01,<50,20,0,0.0,0,TU20037414.csv,500,0,0.0,<50,0.45,<50,<50,220,<50,0.0,0,120,0.0
B300062,KM-20-02,792.0,797.0,241.4,242.9,Pyritic graph-ser-qtz schist.,0,KM-20-02.xlsx,<1,0.0,5.22,450,0.007,0.0,300,<10,<20,4.38,<10,0.0,30,90,0,0.0,90,8.11,<50,0.0,0,0.0,1.0,<50,0.0,2.78,3370,<10,0.85,0,70,640,0.0,<20,0,0,5.75,1.17,<50,20,0,0.0,0,TU20037414.csv,140,0,0.0,<50,0.31,<50,<50,190,<50,0.0,0,120,0.0
B300063,KM-20-02,797.0,802.0,242.9,244.4,Pyritic graph-ser-qtz schist.,0,KM-20-02.xlsx,<1,0.0,4.61,540,<0.005,0.0,270,<10,<20,5.83,<10,0.0,40,330,0,0.0,80,8.0,<50,0.0,0,0.0,0.7,<50,0.0,3.79,2920,<10,0.65,0,210,600,0.0,20,0,0,6.43,0.76,<50,20,0,0.0,0,TU20037414.csv,140,0,0.0,<50,0.34,<50,<50,210,<50,0.0,0,130,0.0
B300064,KM-20-02,802.0,804.0,244.4,245.1,Pyritic graph-ser-qtz schist.,0,KM-20-02.xlsx,<1,0.0,5.35,160,<0.005,0.0,300,<10,<20,3.44,<10,0.0,40,90,0,0.0,60,8.51,<50,0.0,0,0.0,1.1,<50,0.0,3.23,3520,<10,0.85,0,60,540,0.0,20,0,0,2.4,0.40,<50,30,0,0.0,0,TU20037414.csv,120,0,0.0,<50,0.41,<50,<50,250,<50,0.0,0,130,0.0
B300071,KM-20-02,930.0,933.0,283.5,284.4,"Ser-qtz schist with scattered, disseminated pyrite blebs",0,KM-20-02.xlsx,<1,0.0,6.74,1640,0.014,0.0,290,<10,<20,3.99,<10,0.0,20,10,0,0.0,170,5.11,<50,0.0,0,0.0,1.5,<50,0.0,4.93,1380,<10,0.24,0,30,480,0.0,50,0,0,2.48,0.95,80,30,0,0.0,0,TU20037414.csv,100,0,0.0,<50,0.15,<50,<50,220,<50,0.0,0,460,0.0
B300072,KM-20-02,933.0,934.5,284.4,284.8,Concordant quartz- feldspar(albite?) vein.,0,KM-20-02.xlsx,<1,0.0,2.64,50,<0.005,0.0,90,<10,<20,5.10,<10,0.0,<10,10,0,0.0,20,3.34,<50,0.0,0,0.0,0.5,<50,0.0,4.33,2900,<10,0.13,0,<10,560,0.0,<20,0,0,1.91,<0.05,<50,10,0,0.0,0,TU20037414.csv,60,0,0.0,<50,0.05,<50,<50,60,<50,0.0,0,100,0.0
B300073,KM-20-02,934.5,939.5,284.8,286.4,Quartz veining in qtz-ser schist.,0,KM-20-02.xlsx,1,0.0,3.86,150,0.014,0.0,160,<10,<20,2.77,<10,0.0,10,20,0,0.0,160,2.36,<50,0.0,0,0.0,0.6,<50,0.0,3.41,960,<10,0.24,0,<10,250,0.0,30,0,0,3.96,<0.05,140,10,0,0.0,0,TU20037414.csv,40,0,0.0,<50,0.12,<50,<50,110,<50,0.0,0,170,0.0
B300074,KM-20-02,939.5,941.0,286.4,286.8,Quartz veining in qtz-ser schist.,0,KM-20-02.xlsx,1,0.0,2.01,460,0.059,0.0,70,<10,<20,3.67,<10,0.0,<10,10,0,0.0,440,1.82,<50,0.0,0,0.0,0.3,<50,0.0,2.82,1140,<10,0.08,0,<10,80,0.0,20,0,0,1.07,0.06,320,<10,0,0.0,0,TU20037414.csv,40,0,0.0,<50,<0.05,<50,<50,<10,<50,0.0,0,150,0.0
B300075,KM-20-02,941.0,944.5,286.8,287.9,"Qtz-ser schist with conformable thin(0.5"") pyrite band.",0,KM-20-02.xlsx,2,0.0,5.19,370,0.064,0.0,170,<10,<20,3.36,<10,0.0,10,<10,0,0.0,180,4.65,<50,0.0,0,0.0,0.8,<50,0.0,5.15,950,<10,0.13,0,<10,130,0.0,360,0,0,3.18,2.05,180,10,0,0.0,0,TU20037414.csv,50,0,0.0,<50,0.07,<50,<50,<10,<50,0.0,0,720,0.0
